Год,"Уровень выплат
за год,
%",Первое полугодие,Второе полугодие,Первый квартал,Второй квартал,Третий квартал,Четвертый квартал
2003,,,,,,,41.84
2004,,,,,,,41.58
2005,39.31,41.88,37.19,42.39,41.47,38.04,36.40
2006,42.57,40.71,44.11,40.17,41.18,40.63,47.42
2007,41.61,37.64,44.75,43.23,33.56,42.46,46.84
2008,91.89,126.78,57.00,58.01,190.69,52.16,62.77
2009,58.86,59.91,57.66,63.55,56.50,59.54,55.59
2010,44.14,46.85,41.74,47.75,46.01,43.59,39.75
2011,47.37,45.26,49.15,38.07,50.99,42.23,53.82
2012,58.19,66.15,51.08,66.87,65.63,64.03,41.49
2013,45.93,42.96,49.43,36.78,50.73,43.32,55.50
2014,50.1,16.00,,53.54,48.36,42.84,
2015,59.09,85.17,35.65,109.89,64.60,31.93,39.84
2016,40.77,38.56,42.73,42.13,35.46,39.12,46.19
2017,51.64,45.73,56.63,50.06,42.33,41.84,70.98
2018,43.48,47.58,40.05,47.58,47.58,35.73,44.20
2019,,41.60,,45.37,38.41,,